id,digit
0,1
1,5
2,0
3,1
4,0
5,9
6,7
7,9
8,4
9,5
10,2
11,6
12,9
13,2
14,2
15,1
16,1
17,9
18,8
19,9
20,9
21,9
22,8
23,0
24,4
25,5
26,9
27,9
28,4
29,2
30,0
31,4
32,2
33,1
34,3
35,8
36,2
37,2
38,5
39,0
40,0
41,4
42,4
43,5
44,7
45,3
46,4
47,6
48,3
49,8
50,8
51,4
52,6
53,3
54,7
55,9
56,2
57,7
58,1
59,8
60,3
61,3
62,2
63,3
64,3
65,2
66,6
67,8
68,1
69,3
70,9
71,0
72,0
73,4
74,9
75,0
76,4
77,6
78,9
79,5
80,8
81,1
82,1
83,7
84,5
85,4
86,8
87,2
88,9
89,2
90,9
91,6
92,3
93,9
94,3
95,5
96,1
97,9
98,0
99,4
100,5
101,8
102,6
103,1
104,2
105,5
106,5
107,4
108,1
109,7
110,1
111,2
112,5
113,9
114,1
115,8
116,2
117,0
118,5
119,3
120,0
121,0
122,2
123,4
124,9
125,2
126,0
127,6
128,3
129,4
130,2
131,3
132,6
133,4
134,5
135,2
136,7
137,9
138,5
139,1
140,0
141,6
142,1
143,6
144,7
145,3
146,0
147,0
148,9
149,7
150,0
151,1
152,5
153,2
154,0
155,5
156,2
157,1
158,1
159,1
160,4
161,8
162,9
163,3
164,0
165,2
166,2
167,3
168,8
169,1
170,4
171,5
172,1
173,7
174,7
175,1
176,7
177,4
178,0
179,3
180,9
181,6
182,9
183,8
184,6
185,8
186,6
187,7
188,2
189,1
190,5
191,6
192,9
193,7
194,6
195,7
196,1
197,1
198,6
199,5
200,0
201,7
202,7
203,8
204,4
205,4
206,7
207,8
208,3
209,3
210,7
211,7
212,1
213,1
214,5
215,4
216,3
217,6
218,7
219,6
220,4
221,5
222,7
223,4
224,0
225,8
226,9
227,7
228,5
229,4
230,0
231,0
232,6
233,1
234,7
235,8
236,1
237,6
238,1
239,8
240,7
241,1
242,5
243,1
244,4
245,0
246,8
247,0
248,7
249,9
250,2
251,1
252,5
253,8
254,1
255,4
256,6
257,9
258,6
259,5
260,7
261,1
262,8
263,9
264,7
265,4
266,8
267,2
268,1
269,3
270,3
271,9
272,2
273,8
274,3
275,5
276,5
277,8
278,2
279,3
280,7
281,9
282,5
283,5
284,1
285,8
286,6
287,3
288,9
289,9
290,4
291,9
292,6
293,3
294,0
295,0
296,8
297,3
298,3
299,8
300,3
301,1
302,3
303,4
304,2
305,1
306,5
307,1
308,4
309,6
310,8
311,1
312,2
313,8
314,9
315,0
316,0
317,6
318,4
319,0
320,3
321,2
322,9
323,8
324,3
325,6
326,8
327,1
328,4
329,6
330,0
331,7
332,9
333,6
334,3
335,8
336,6
337,5
338,1
339,0
340,6
341,7
342,5
343,5
344,2
345,6
346,3
347,9
348,7
349,4
350,7
351,0
352,9
353,5
354,7
355,2
356,5
